date,groundtruth
03/27/2011,0.9685802029999999
04/03/2011,0.47511878
04/10/2011,0.115340254
04/17/2011,0.082012028
04/24/2011,0.045724737
05/01/2011,0.086330935
05/08/2011,0.045599635
05/15/2011,0.10764262599999999
05/22/2011,0.0
05/29/2011,0.0
06/05/2011,0.0
06/12/2011,0.0
06/19/2011,0.0
06/26/2011,0.0
07/03/2011,0.0
07/10/2011,0.0
07/17/2011,0.0
07/24/2011,0.0
07/31/2011,0.0
08/07/2011,0.0
08/14/2011,0.0
08/21/2011,0.0
08/28/2011,0.0
09/04/2011,0.0
09/11/2011,0.0
09/18/2011,0.0
09/25/2011,0.0
10/02/2011,0.16077170400000002
10/09/2011,0.113058225
10/16/2011,0.063816209
10/23/2011,0.083194676
10/30/2011,0.22250476800000002
11/06/2011,0.283366393
11/13/2011,0.35714285700000004
11/20/2011,0.095785441
11/27/2011,0.420799519
12/04/2011,0.684181719
12/11/2011,0.42149631200000004
12/18/2011,0.159616919
12/25/2011,0.23866348399999998
01/01/2012,0.512267458
01/08/2012,0.31380753100000003
01/15/2012,0.224143452
01/22/2012,0.263365815
01/29/2012,0.40716612399999996
02/05/2012,0.15970189
02/12/2012,0.370468378
02/19/2012,0.10612894699999999
02/26/2012,0.354484225
03/04/2012,0.544
03/11/2012,0.46863734700000004
03/18/2012,0.41958042
03/25/2012,0.141093474
04/01/2012,0.451559934
04/08/2012,0.5773195879999999
04/15/2012,0.149588631
04/22/2012,0.0
04/29/2012,0.11578541099999999
05/06/2012,0.20374898100000002
05/13/2012,0.091365921
05/20/2012,0.0
05/27/2012,0.18484288399999999
06/03/2012,0.0
06/10/2012,0.0
06/17/2012,0.0
06/24/2012,0.0
07/01/2012,0.0
07/08/2012,0.0
07/15/2012,0.0
07/22/2012,0.0
07/29/2012,0.0
08/05/2012,0.0
08/12/2012,0.113507378
08/19/2012,0.284900285
08/26/2012,0.563380282
09/02/2012,0.174216028
09/09/2012,0.0
09/16/2012,0.0
09/23/2012,0.0
09/30/2012,0.15948963300000002
10/07/2012,0.268997983
10/14/2012,0.298013245
10/21/2012,0.456621005
10/28/2012,0.23934897100000002
11/04/2012,0.45751634
11/11/2012,0.48590864899999997
11/18/2012,0.905523695
11/25/2012,0.83725798
12/02/2012,1.4542079209999998
12/09/2012,2.054584483
12/16/2012,2.386363636
12/23/2012,4.210526316
12/30/2012,5.162775403
01/06/2013,5.115176152
01/13/2013,5.499814195
01/20/2013,5.04704876
01/27/2013,3.0878859860000003
02/03/2013,2.010852218
02/10/2013,1.637426901
02/17/2013,1.6755521709999999
02/24/2013,1.116427432
03/03/2013,1.121076233
03/10/2013,0.96749226
03/17/2013,0.858369099
03/24/2013,0.80604534
03/31/2013,0.552740673
04/07/2013,0.243072436
04/14/2013,0.363967243
04/21/2013,0.043402777999999996
04/28/2013,0.0
05/05/2013,0.0
05/12/2013,0.0
05/19/2013,0.0
05/26/2013,0.0
06/02/2013,0.0
06/09/2013,0.0
06/16/2013,0.0
06/23/2013,0.0
06/30/2013,0.0
07/07/2013,0.0
07/14/2013,0.0
07/21/2013,0.0
07/28/2013,0.0
08/04/2013,0.0
08/11/2013,0.0
08/18/2013,0.0
08/25/2013,0.0
09/01/2013,0.0
09/08/2013,0.0
09/15/2013,0.0
09/22/2013,0.0
09/29/2013,0.496360026
10/06/2013,0.037821482999999996
10/13/2013,0.7587253409999999
10/20/2013,1.432469304
10/27/2013,1.114413076
11/03/2013,1.229966455
11/10/2013,1.282051282
11/17/2013,0.8405977579999999
11/24/2013,1.128962223
12/01/2013,1.299936588
12/08/2013,1.089015152
12/15/2013,1.78201409
12/22/2013,3.2323232319999997
12/29/2013,1.84013801
01/05/2014,2.0236731580000002
01/12/2014,2.4096385540000003
01/19/2014,3.7082818289999997
01/26/2014,2.482136141
02/02/2014,2.985074627
02/09/2014,2.270703473
02/16/2014,1.726121979
02/23/2014,1.862630966
03/02/2014,1.9558676030000002
03/09/2014,1.180173092
03/16/2014,1.290054099
03/23/2014,1.5110422319999999
03/30/2014,1.7255216690000001
04/06/2014,1.482091396
04/13/2014,0.274977085
04/20/2014,0.09722897400000001
04/27/2014,0.05144032900000001
05/04/2014,0.0
05/11/2014,0.0
05/18/2014,0.0
05/25/2014,0.0
06/01/2014,0.067567568
06/08/2014,0.07423905
06/15/2014,0.137741047
06/22/2014,0.0
06/29/2014,0.0
07/06/2014,0.0
07/13/2014,0.0
07/20/2014,0.0
07/27/2014,0.0
08/03/2014,0.0
08/10/2014,0.0
08/17/2014,0.0
08/24/2014,0.0
08/31/2014,0.0
09/07/2014,0.134770889
09/14/2014,0.0
09/21/2014,0.144092219
09/28/2014,0.040778366
10/05/2014,0.10149878400000001
10/12/2014,0.0
10/19/2014,0.0
10/26/2014,0.035055087
11/02/2014,0.07502861599999999
11/09/2014,0.032193447
11/16/2014,0.030673201
11/23/2014,0.133066247
11/30/2014,0.25602732899999997
12/07/2014,0.08871083099999999
12/14/2014,1.12319359
12/21/2014,1.6196880809999998
12/28/2014,1.223976964
01/04/2015,1.34
01/11/2015,4.1
01/18/2015,3.0
01/25/2015,2.8
02/01/2015,1.95
02/08/2015,1.23
02/15/2015,0.75
02/22/2015,0.86
03/01/2015,0.79
03/08/2015,0.44
03/15/2015,0.1
03/22/2015,0.41
03/29/2015,0.06
04/05/2015,0.21
04/12/2015,0.21
04/19/2015,0.1
04/26/2015,0.04
05/03/2015,0.04
05/10/2015,0.0
05/17/2015,0.0
05/24/2015,0.0
05/31/2015,0.0
06/07/2015,0.0
06/14/2015,0.0
06/21/2015,0.0
06/28/2015,0.0
07/05/2015,0.0
07/12/2015,0.0
07/19/2015,0.0
07/26/2015,0.0
08/02/2015,0.0
08/09/2015,0.0
08/16/2015,0.0
08/23/2015,0.0
08/30/2015,0.0
09/06/2015,0.0
09/13/2015,0.0
09/20/2015,0.0
09/27/2015,0.0
10/04/2015,0.1
10/11/2015,0.02
10/18/2015,0.06
10/25/2015,0.12
11/01/2015,0.19
11/08/2015,0.17
11/15/2015,0.26
11/22/2015,0.26
11/29/2015,0.15
12/06/2015,0.15
12/13/2015,0.13
12/20/2015,0.0
12/27/2015,0.2
01/03/2016,0.26
01/10/2016,0.21
01/17/2016,0.06
01/24/2016,0.1
01/31/2016,0.19
02/07/2016,0.09
02/14/2016,0.05
02/21/2016,0.66
02/28/2016,1.03
03/06/2016,1.74
03/13/2016,1.34
03/20/2016,1.53
03/27/2016,0.87
04/03/2016,0.74
04/10/2016,0.31
04/17/2016,0.33
04/24/2016,0.6
05/01/2016,0.36
05/08/2016,0.18
05/15/2016,0.11
05/22/2016,0.0
05/29/2016,0.0
06/05/2016,0.0
06/12/2016,0.0
06/19/2016,0.0
06/26/2016,0.0
07/03/2016,0.0
07/10/2016,0.0
07/17/2016,0.0
07/24/2016,0.0
07/31/2016,0.0
08/07/2016,0.0
08/14/2016,0.0
08/21/2016,0.0
08/28/2016,0.0
09/04/2016,0.0
09/11/2016,0.0
09/18/2016,0.0
09/25/2016,0.0
10/02/2016,0.1
10/09/2016,0.08
10/16/2016,0.18
10/23/2016,0.29
10/30/2016,0.4
11/06/2016,0.01
11/13/2016,0.11
11/20/2016,0.0
11/27/2016,0.01
12/04/2016,0.05
12/11/2016,0.07
12/18/2016,0.05
12/25/2016,0.12
01/01/2017,0.1
01/08/2017,0.57
01/15/2017,0.33
01/22/2017,0.33
01/29/2017,0.49
02/05/2017,0.57
02/12/2017,1.06
02/19/2017,0.77
02/26/2017,0.34
03/05/2017,0.53
03/12/2017,0.54
03/19/2017,0.35
03/26/2017,0.58
04/02/2017,0.47
04/09/2017,0.52
04/16/2017,0.23
04/23/2017,0.05
04/30/2017,0.08
05/07/2017,0.01
05/14/2017,0.16
